result,odds-home,odds-draw,odds-away,home-wins,home-draw,home-losses,home-goals,home-opposition-goals,home-shots,home-shots-on-target,home-opposition-shots,home-opposition-shots-on-target,away-wins,away-draw,away-losses,away-goals,away-opposition-goals,away-shots,away-shots-on-target,away-opposition-shots,away-opposition-shots-on-target
D,1.95,3.5,3.79,4,2,4,13,16,86,49,103,54,3,3,4,12,14,89,45,76,34
D,1.5,4.0,7.0,1,5,4,9,16,149,43,143,44,3,3,4,8,10,121,36,100,35
D,1.72,3.5,5.0,0,6,4,6,12,80,28,125,39,4,4,2,14,11,115,47,131,42
D,2.4,3.2,3.0,4,2,4,8,8,89,34,135,38,3,2,5,10,17,103,36,140,47
D,3.2,3.4,2.2,4,4,2,13,10,135,45,83,26,1,6,3,10,14,152,42,136,42
D,2.37,3.2,3.0,3,5,2,11,11,116,43,139,44,3,3,4,11,15,119,47,147,54
D,2.7,3.25,2.6,3,4,3,14,14,80,37,85,38,5,5,0,17,8,99,47,81,43
D,1.4,4.75,7.0,6,3,1,21,8,143,45,106,40,0,6,4,5,11,95,28,126,37
D,2.0,3.3,3.8,3,4,3,10,11,102,31,111,39,3,1,6,9,18,105,36,132,46
D,2.2,3.25,3.29,3,3,4,7,10,75,37,75,40,4,2,4,15,16,90,56,104,47
D,2.14,3.39,3.29,4,4,2,11,9,79,42,79,33,4,2,4,11,16,93,47,98,49
D,1.6,4.2,5.0,6,4,0,19,9,94,44,78,41,4,2,4,12,14,76,46,103,39
D,2.7,3.1,2.7,2,4,4,12,13,90,39,91,37,4,3,3,15,9,103,50,101,59
D,2.37,3.1,3.1,3,5,2,13,11,134,44,78,28,5,3,2,12,8,99,28,119,33
D,1.39,4.75,7.0,5,3,2,17,12,114,49,86,44,4,2,4,17,19,89,44,83,39
D,1.8,3.6,4.33,2,2,6,11,18,104,36,151,51,1,1,8,5,24,103,32,165,58
D,2.0,3.5,3.6,2,3,5,10,17,78,35,136,48,3,2,5,10,21,101,39,103,64
D,1.9,3.6,3.8,3,4,3,13,13,137,43,117,40,5,4,1,13,8,92,32,120,32
D,4.75,3.6,1.75,5,1,4,9,8,93,37,130,35,1,5,4,10,17,150,41,138,43
