result,odds-home,odds-draw,odds-away,home-wins,home-draw,home-losses,home-goals,home-opposition-goals,home-shots,home-shots-on-target,home-opposition-shots,home-opposition-shots-on-target,away-wins,away-draw,away-losses,away-goals,away-opposition-goals,away-shots,away-shots-on-target,away-opposition-shots,away-opposition-shots-on-target
H,2.0,3.3,3.8,2,5,3,9,12,132,51,111,40,3,1,6,9,15,149,43,134,53
H,3.0,3.0,2.55,4,1,5,8,16,107,35,129,51,6,1,3,17,10,100,45,148,39
H,1.08,10.0,26.0,5,4,1,20,8,130,52,88,32,5,1,4,11,11,139,47,122,37
H,1.4,4.5,8.0,9,0,1,32,14,231,93,88,33,5,1,4,13,14,139,46,140,53
H,1.57,4.0,5.5,3,3,4,14,14,149,55,109,39,7,1,2,16,8,111,34,136,42
H,2.0,3.5,3.6,4,1,5,17,19,143,52,165,64,6,1,3,19,11,149,56,124,44
H,2.0,3.3,3.8,0,5,5,7,13,131,41,161,52,6,2,2,15,13,155,51,137,49
H,1.44,4.33,7.0,5,0,5,19,17,131,55,140,59,2,1,7,10,21,115,37,130,56
H,2.3,3.25,3.0,3,4,3,10,10,134,40,114,40,3,4,3,10,10,110,48,171,54
H,2.5,3.29,2.87,3,5,2,7,6,99,31,100,37,4,3,3,17,15,110,42,126,46
H,2.1,3.2,3.6,3,4,3,11,14,108,36,151,54,5,1,4,13,14,110,41,148,48
H,8.0,4.75,1.4,4,1,5,9,13,107,33,121,42,8,1,1,35,6,160,69,73,30
H,2.87,3.1,2.7,1,0,9,4,16,93,28,156,52,3,4,3,9,12,113,34,150,53
H,1.2,6.5,12.0,9,1,0,29,12,197,85,133,50,3,2,5,10,18,100,35,128,49
H,2.25,3.3,3.3,3,2,5,14,18,132,50,116,55,2,5,3,16,12,82,32,141,48
H,2.0,3.3,3.75,2,2,6,5,15,109,28,149,45,1,3,6,9,26,133,35,129,58
H,1.64,4.0,5.25,3,1,6,19,19,140,46,95,42,6,1,3,11,12,105,39,143,49
H,3.0,3.25,2.38,3,2,5,10,20,131,35,148,63,7,1,2,20,7,124,47,82,25
H,2.2,3.2,3.25,2,4,4,9,10,126,39,131,46,3,3,4,11,12,136,44,115,52
H,3.1,3.4,2.25,2,2,6,9,20,118,37,159,60,4,3,3,14,17,100,43,184,76
H,1.3,6.0,8.0,6,3,1,29,10,176,69,112,36,3,2,5,11,21,105,36,135,50
