result,odds-home,odds-draw,odds-away,home-wins,home-draw,home-losses,home-goals,home-opposition-goals,home-shots,home-shots-on-target,home-opposition-shots,home-opposition-shots-on-target,away-wins,away-draw,away-losses,away-goals,away-opposition-goals,away-shots,away-shots-on-target,away-opposition-shots,away-opposition-shots-on-target
H,3.75,3.3,2.05,3,2,5,12,18,86,40,123,63,4,2,4,12,11,91,53,86,43
H,1.44,4.33,8.0,7,1,2,19,10,175,58,104,41,3,2,5,10,15,99,27,149,48
H,1.91,3.5,4.2,7,1,2,24,12,166,70,123,40,5,0,5,14,17,124,40,103,42
H,5.5,3.8,1.62,5,1,4,13,10,118,44,161,51,6,1,3,15,9,140,38,132,27
H,1.29,5.0,11.0,7,1,2,18,7,188,70,92,26,5,1,4,12,14,125,39,150,47
H,1.8,3.5,4.5,2,4,4,11,12,143,46,114,36,2,5,3,13,14,134,44,137,47
H,1.91,3.3,4.2,2,5,3,10,13,131,36,143,41,2,4,4,9,14,122,31,158,52
H,1.73,3.75,5.0,4,3,3,22,16,175,55,112,34,9,0,1,23,6,158,65,93,25
H,1.36,4.33,10.0,5,5,0,21,10,151,61,100,40,3,3,4,12,12,120,46,118,42
H,1.13,7.5,21.0,6,2,2,13,9,106,39,125,34,1,3,6,9,19,124,33,126,53
H,1.85,3.75,4.2,5,2,3,22,16,104,57,91,44,4,5,1,19,13,109,53,84,45
H,4.2,3.2,1.95,2,4,4,6,8,144,44,132,51,4,4,2,11,6,192,47,121,40
H,3.5,3.1,2.2,3,2,5,11,15,142,41,153,44,6,4,0,21,10,171,60,155,49
H,2.75,3.3,2.62,6,2,2,19,9,129,62,100,45,8,2,0,21,4,143,75,78,39
H,1.53,3.6,7.5,6,3,1,16,7,155,50,150,42,6,3,1,19,8,143,51,142,43
H,4.75,3.6,1.75,5,3,2,15,11,115,43,141,37,3,4,3,13,10,187,54,89,25
H,1.06,13.0,34.0,8,1,1,30,10,153,61,97,28,0,0,10,3,27,124,30,169,66
H,1.18,7.0,17.0,8,2,0,19,4,145,60,92,30,1,2,7,5,21,111,37,140,54
H,5.25,3.75,1.65,3,4,3,10,8,103,27,155,35,4,2,4,14,9,137,44,126,38
H,1.62,3.4,6.5,3,5,2,17,15,167,55,144,50,1,4,5,6,16,118,36,126,49
H,1.45,4.33,7.5,5,3,2,17,12,185,56,123,41,2,5,3,15,19,130,47,139,64
H,1.44,4.0,8.0,5,2,3,17,15,138,48,174,42,2,3,5,5,8,109,38,128,45
H,2.2,3.2,3.4,2,3,5,8,14,128,39,133,39,3,3,4,12,14,133,41,130,36
H,1.61,3.5,6.25,4,4,2,16,10,131,42,117,36,3,6,1,13,12,116,40,196,63
H,2.38,3.4,3.0,5,0,5,16,23,101,50,174,63,2,3,5,14,17,110,41,135,40
H,1.44,4.0,8.0,2,3,5,9,12,95,27,120,38,2,1,7,7,20,90,23,167,64
