result,odds-home,odds-draw,odds-away,home-wins,home-draw,home-losses,home-goals,home-opposition-goals,home-shots,home-shots-on-target,home-opposition-shots,home-opposition-shots-on-target,away-wins,away-draw,away-losses,away-goals,away-opposition-goals,away-shots,away-shots-on-target,away-opposition-shots,away-opposition-shots-on-target
H,3.4,3.5,2.1,3,3,4,10,17,97,39,122,42,5,3,2,14,10,179,74,110,43
H,1.85,3.25,5.0,1,3,6,9,16,100,36,112,42,4,3,3,9,8,73,26,106,25
H,1.53,3.8,7.5,6,3,1,19,9,125,45,86,28,2,1,7,6,14,99,35,164,69
H,1.72,3.2,4.5,3,4,3,10,7,101,46,77,36,2,3,5,11,14,102,52,109,53
H,3.0,3.0,2.5,2,3,5,10,11,149,48,112,33,5,3,2,17,11,145,53,98,33
H,1.5,4.0,7.0,3,4,3,10,13,113,31,114,44,1,3,6,9,20,96,34,190,65
H,3.1,3.6,2.2,2,3,5,7,17,110,39,152,55,2,3,5,9,19,104,32,96,42
H,2.4,3.0,2.7,3,0,7,8,19,99,38,105,52,3,4,3,5,9,110,48,121,57
H,1.62,3.6,6.0,3,4,3,12,10,119,46,113,34,2,3,5,10,11,149,44,125,34
H,2.05,3.25,3.75,2,6,2,13,12,139,51,114,39,4,3,3,17,18,98,39,149,51
H,2.0,3.1,4.2,3,4,3,12,16,111,44,140,52,3,3,4,11,19,96,29,116,45
H,5.5,3.5,1.73,3,3,4,8,9,66,21,117,25,2,2,6,12,19,145,47,100,52
H,1.45,4.0,9.0,5,1,4,18,9,150,52,91,35,3,4,3,16,15,105,32,129,40
H,2.8,3.1,2.62,2,2,6,5,15,80,18,159,61,2,2,6,7,14,107,32,153,44
H,2.2,3.1,3.6,2,3,5,11,17,89,30,123,43,3,3,4,12,12,93,28,118,39
H,2.2,3.0,3.6,4,4,2,10,9,147,54,111,35,2,5,3,7,9,125,40,130,41
H,5.0,3.5,1.73,0,4,6,10,21,76,24,202,72,4,3,3,11,11,133,45,103,33
H,1.85,3.6,4.33,2,4,4,8,13,136,35,140,53,1,4,5,12,19,137,38,87,39
H,2.62,3.0,3.0,4,2,4,7,11,97,33,139,40,3,4,3,16,18,119,46,134,57
H,2.45,3.2,3.0,2,3,5,14,23,131,44,127,53,4,4,2,15,11,123,49,123,42
H,2.2,3.3,3.4,3,3,4,15,21,119,37,129,54,5,2,3,12,11,117,38,120,45
H,1.66,3.1,5.5,4,2,4,14,12,84,35,105,46,3,3,4,8,12,85,40,94,38
H,2.1,2.87,4.0,3,6,1,12,8,104,40,106,40,3,2,5,10,12,112,42,95,32
H,2.37,3.1,3.1,3,2,5,10,12,122,47,137,47,3,2,5,12,17,132,37,132,49
H,3.2,3.1,2.3,3,4,3,15,20,97,35,132,43,6,1,3,16,11,121,40,122,47
H,2.1,3.1,4.0,2,2,6,4,17,79,15,128,44,1,2,7,5,14,96,31,160,54
H,2.2,3.29,3.39,3,2,5,12,25,106,37,151,71,2,3,5,9,14,121,39,119,43
