result,odds-home,odds-draw,odds-away,home-wins,home-draw,home-losses,home-goals,home-opposition-goals,home-shots,home-shots-on-target,home-opposition-shots,home-opposition-shots-on-target,away-wins,away-draw,away-losses,away-goals,away-opposition-goals,away-shots,away-shots-on-target,away-opposition-shots,away-opposition-shots-on-target
H,1.91,3.6,4.0,2,3,5,12,17,117,59,126,61,1,5,4,15,18,119,65,170,89
H,1.14,7.0,17.0,8,0,2,26,8,166,93,103,50,3,1,6,11,17,98,51,109,49
H,6.0,3.8,1.67,3,2,5,7,12,85,22,181,61,5,3,2,15,9,138,58,115,32
H,2.75,3.3,2.8,3,1,6,11,12,126,46,144,41,3,3,4,18,15,145,46,111,45
H,2.0,3.4,4.33,7,3,0,18,7,141,54,117,39,8,1,1,23,9,147,57,81,28
H,1.4,5.5,8.0,3,3,4,17,13,143,48,100,33,3,1,6,12,15,125,42,143,54
H,2.1,3.25,3.75,5,2,3,16,10,119,65,122,69,4,2,4,16,12,128,68,133,73
H,6.5,4.0,1.53,3,3,4,12,12,147,89,120,71,7,2,1,26,9,153,95,105,55
H,1.8,3.75,5.0,4,3,3,13,9,135,51,85,31,1,2,7,8,21,125,30,134,48
H,1.33,5.5,10.5,5,1,4,18,12,190,109,106,65,3,3,4,15,16,102,54,139,73
H,1.91,3.4,4.2,4,0,6,10,22,90,51,162,95,2,2,6,8,22,85,49,169,96
H,1.95,3.4,4.0,2,5,3,15,14,112,62,114,70,4,2,4,15,15,85,45,138,80
H,2.62,3.2,2.75,4,1,5,15,16,106,28,140,37,4,2,4,16,17,119,38,145,42
H,1.85,3.6,4.75,1,3,6,9,16,134,27,132,43,2,1,7,8,21,111,36,196,58
H,2.8,3.3,2.75,2,1,7,4,16,108,27,119,40,2,3,5,7,15,110,29,184,66
H,3.25,3.6,2.3,5,3,2,16,13,163,100,81,44,6,2,2,15,8,141,81,96,47
H,2.0,3.3,3.75,1,5,4,18,20,128,66,105,58,6,3,1,15,13,110,64,120,67
H,1.55,4.33,6.5,3,5,2,16,13,151,55,118,29,2,2,6,12,22,105,36,108,44
H,1.83,3.25,4.5,5,3,2,17,10,138,83,103,58,2,2,6,12,18,139,68,102,57
H,2.1,3.3,3.6,1,4,5,10,19,101,50,139,74,3,3,4,9,18,91,39,152,82
H,2.1,3.6,3.75,3,5,2,12,12,119,74,144,84,4,1,5,19,22,131,84,111,63
H,2.29,3.39,3.39,4,2,4,13,15,102,35,137,47,5,3,2,14,11,104,41,131,37
H,2.63,3.2,2.8,3,4,3,9,9,114,37,143,34,5,2,3,8,6,146,40,107,28
H,4.2,3.4,1.91,4,1,5,19,19,98,63,133,65,7,0,3,27,13,187,109,91,53
H,2.4,3.3,3.0,2,0,8,13,27,107,70,166,98,3,3,4,8,14,94,41,114,65
H,1.8,3.6,4.5,4,2,4,20,16,115,76,115,67,4,2,4,8,15,103,54,127,68
H,2.1,3.4,3.5,2,4,4,10,15,111,61,110,66,2,3,5,14,19,136,80,165,97
H,2.1,3.25,3.4,3,2,5,12,18,116,64,115,59,6,2,2,13,13,84,44,98,49
H,2.05,3.5,4.0,3,3,4,13,14,97,29,234,66,1,5,4,5,9,145,37,147,35
H,2.5,3.25,2.88,2,2,6,6,19,87,42,133,84,6,1,3,13,13,120,72,146,96
