result,odds-home,odds-draw,odds-away,home-wins,home-draw,home-losses,home-goals,home-opposition-goals,home-shots,home-shots-on-target,home-opposition-shots,home-opposition-shots-on-target,away-wins,away-draw,away-losses,away-goals,away-opposition-goals,away-shots,away-shots-on-target,away-opposition-shots,away-opposition-shots-on-target
H,1.5,4.33,6.5,5,4,1,19,9,177,63,79,31,4,2,4,15,12,132,50,111,36
H,2.8,3.4,2.5,7,2,1,16,5,124,48,149,39,5,3,2,16,8,162,67,71,23
H,1.25,6.0,12.0,7,2,1,29,9,211,75,112,37,2,4,4,16,16,140,58,133,50
H,4.75,3.5,1.72,3,1,6,12,18,128,76,108,66,5,3,2,15,10,173,98,115,67
H,3.4,3.6,2.1,3,2,5,10,18,114,35,183,66,3,3,4,14,15,152,66,106,41
H,1.16,6.0,19.0,5,2,3,17,14,160,87,115,60,2,2,6,11,17,134,69,137,82
H,2.15,3.3,3.4,4,1,5,13,15,141,50,165,49,5,3,2,15,14,135,41,128,50
H,1.14,8.0,15.0,6,1,3,21,11,153,57,86,26,0,7,3,7,11,141,42,138,46
H,3.0,3.5,2.3,5,1,4,15,17,117,42,128,51,4,2,4,10,15,117,42,119,44
H,2.3,3.4,3.1,2,3,5,13,17,139,57,131,50,3,2,5,11,16,88,30,135,60
H,1.53,4.33,6.0,4,1,5,9,14,150,50,110,48,5,0,5,14,11,119,42,158,51
H,2.75,3.3,2.6,1,1,8,10,28,130,47,156,62,3,4,3,12,13,121,45,155,51
H,1.36,5.0,8.0,8,1,1,29,9,160,59,83,27,5,5,0,15,9,128,38,117,43
H,3.1,3.2,2.25,1,4,5,5,19,107,57,148,91,3,4,3,13,13,154,91,122,73
H,2.2,3.4,3.2,2,2,6,12,24,116,52,146,54,3,4,3,11,11,113,35,126,38
H,3.5,3.2,2.14,3,1,6,13,19,132,43,130,44,3,2,5,12,15,126,46,114,47
H,2.63,3.4,2.6,4,2,4,15,19,123,40,163,61,5,2,3,18,14,148,62,121,39
H,1.66,3.5,5.5,3,2,5,8,13,116,39,149,46,2,2,6,10,16,142,39,160,59
H,3.4,3.5,2.05,1,3,6,5,15,132,36,132,49,5,4,1,19,15,179,59,91,40
H,2.1,3.4,3.4,4,0,6,13,18,121,41,125,44,3,2,5,11,15,121,43,116,38
